RECORDING_SESSION_LABEL	TRIAL_INDEX	CURRENT_MSG_TEXT	CURRENT_MSG_TIME	TRIAL_START_TIME	ScannerPulseTime	emotion	imagetype
pilot06	1	TRIALID 0	-56	1812593	1896532	Unpleasant	Prac
pilot06	1	RECCFG CR 500 2 1 R	-2	1812593	1896532	Unpleasant	Prac
pilot06	1	ELCLCFG MLRR	-2	1812593	1896532	Unpleasant	Prac
pilot06	1	GAZE_COORDS 0.00 0.00 1919.00 1079.00	-2	1812593	1896532	Unpleasant	Prac
pilot06	1	THRESHOLDS R 68 200	-2	1812593	1896532	Unpleasant	Prac
pilot06	1	ELCL_WINDOW_SIZES 176 188 0 0	-2	1812593	1896532	Unpleasant	Prac
pilot06	1	CAMERA_LENS_FOCAL_LENGTH 38.00	-2	1812593	1896532	Unpleasant	Prac
pilot06	1	PUPIL_DATA_TYPE RAW_AUTOSLIP	-2	1812593	1896532	Unpleasant	Prac
pilot06	1	ELCL_PROC CENTROID (3)	-2	1812593	1896532	Unpleasant	Prac
pilot06	1	ELCL_PCR_PARAM 5 3.0	-2	1812593	1896532	Unpleasant	Prac
pilot06	1	!MODE RECORD CR 500 2 1 R	-1	1812593	1896532	Unpleasant	Prac
pilot06	1	RESET_VARS	59	1812593	1896532	Unpleasant	Prac
pilot06	1	FIXATION_SCREEN	99	1812593	1896532	Unpleasant	Prac
pilot06	1	FIX_TIMER	1075	1812593	1896532	Unpleasant	Prac
pilot06	1	Frame to be displayed 1	1100	1812593	1896532	Unpleasant	Prac
pilot06	1	Frame to be displayed 2	1134	1812593	1896532	Unpleasant	Prac
pilot06	1	Frame to be displayed 3	1167	1812593	1896532	Unpleasant	Prac
pilot06	1	Frame to be displayed 4	1200	1812593	1896532	Unpleasant	Prac
pilot06	1	Frame to be displayed 5	1234	1812593	1896532	Unpleasant	Prac
pilot06	1	Frame to be displayed 6	1267	1812593	1896532	Unpleasant	Prac
pilot06	1	Frame to be displayed 7	1300	1812593	1896532	Unpleasant	Prac
pilot06	1	Frame to be displayed 8	1334	1812593	1896532	Unpleasant	Prac
pilot06	1	Frame to be displayed 9	1368	1812593	1896532	Unpleasant	Prac
pilot06	1	Frame to be displayed 10	1401	1812593	1896532	Unpleasant	Prac
pilot06	1	Frame to be displayed 11	1434	1812593	1896532	Unpleasant	Prac
pilot06	1	Frame to be displayed 12	1467	1812593	1896532	Unpleasant	Prac
pilot06	1	Frame to be displayed 13	1501	1812593	1896532	Unpleasant	Prac
pilot06	1	Frame to be displayed 14	1534	1812593	1896532	Unpleasant	Prac
pilot06	1	Frame to be displayed 15	1568	1812593	1896532	Unpleasant	Prac
pilot06	1	Frame to be displayed 16	1601	1812593	1896532	Unpleasant	Prac
pilot06	1	Frame to be displayed 17	1635	1812593	1896532	Unpleasant	Prac
pilot06	1	Frame to be displayed 18	1668	1812593	1896532	Unpleasant	Prac
pilot06	1	Frame to be displayed 19	1701	1812593	1896532	Unpleasant	Prac
pilot06	1	Frame to be displayed 20	1735	1812593	1896532	Unpleasant	Prac
pilot06	1	Frame to be displayed 21	1768	1812593	1896532	Unpleasant	Prac
pilot06	1	Frame to be displayed 22	1801	1812593	1896532	Unpleasant	Prac
pilot06	1	Frame to be displayed 23	1835	1812593	1896532	Unpleasant	Prac
pilot06	1	Frame to be displayed 24	1868	1812593	1896532	Unpleasant	Prac
pilot06	1	Frame to be displayed 25	1901	1812593	1896532	Unpleasant	Prac
pilot06	1	Frame to be displayed 26	1935	1812593	1896532	Unpleasant	Prac
pilot06	1	Frame to be displayed 27	1968	1812593	1896532	Unpleasant	Prac
pilot06	1	Frame to be displayed 28	2001	1812593	1896532	Unpleasant	Prac
