RECORDING_SESSION_LABEL	TRIAL_INDEX	CURRENT_MSG_TEXT	CURRENT_MSG_TIME	TRIAL_START_TIME	ScannerPulseTime	emotion
pilot07	1	TRIALID 0	-55	8549997	8545161	Unpleasant
pilot07	1	RECCFG CR 500 2 1 R	-1	8549997	8545161	Unpleasant
pilot07	1	ELCLCFG MLRR	-1	8549997	8545161	Unpleasant
pilot07	1	GAZE_COORDS 0.00 0.00 1919.00 1079.00	-1	8549997	8545161	Unpleasant
pilot07	1	THRESHOLDS R 70 216	-1	8549997	8545161	Unpleasant
pilot07	1	ELCL_WINDOW_SIZES 176 188 0 0	-1	8549997	8545161	Unpleasant
pilot07	1	CAMERA_LENS_FOCAL_LENGTH 38.00	-1	8549997	8545161	Unpleasant
pilot07	1	PUPIL_DATA_TYPE RAW_AUTOSLIP	-1	8549997	8545161	Unpleasant
pilot07	1	ELCL_PROC ELLIPSE  (5)	-1	8549997	8545161	Unpleasant
pilot07	1	ELCL_EFIT_PARAMS 1.01 4.00  0.15 0.05  0.65 0.65  0.00 0.00 0.30	-1	8549997	8545161	Unpleasant
pilot07	1	!MODE RECORD CR 500 2 1 R	0	8549997	8545161	Unpleasant
pilot07	1	RESET_VARS	63	8549997	8545161	Unpleasant
pilot07	1	FIXATION_SCREEN	112	8549997	8545161	Unpleasant
pilot07	1	FIX_TIMER	1087	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 1	1112	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 2	1146	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 3	1179	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 4	1212	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 5	1246	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 6	1279	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 7	1312	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 8	1346	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 9	1380	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 10	1413	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 11	1446	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 12	1480	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 13	1513	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 14	1546	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 15	1580	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 16	1613	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 17	1647	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 18	1680	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 19	1713	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 20	1747	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 21	1780	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 22	1813	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 23	1847	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 24	1880	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 25	1913	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 26	1947	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 27	1980	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 28	2013	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 29	2047	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 30	2080	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 31	2113	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 32	2147	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 33	2180	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 34	2213	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 35	2247	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 36	2280	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 37	2313	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 38	2347	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 39	2380	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 40	2413	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 41	2447	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 42	2480	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 43	2514	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 44	2548	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 45	2581	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 46	2614	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 47	2648	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 48	2681	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 49	2714	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 50	2748	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 51	2781	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 52	2814	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 53	2848	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 54	2881	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 55	2914	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 56	2948	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 57	2981	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 58	3014	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 59	3048	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 60	3081	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 61	3114	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 62	3148	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 63	3181	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 64	3215	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 65	3248	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 66	3281	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 67	3315	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 68	3348	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 69	3381	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 70	3415	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 71	3448	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 72	3481	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 73	3515	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 74	3548	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 75	3582	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 76	3615	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 77	3648	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 78	3682	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 79	3715	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 80	3748	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 81	3782	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 82	3815	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 83	3849	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 84	3882	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 85	3915	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 86	3949	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 87	3982	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 88	4015	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 89	4049	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 90	4082	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 91	4115	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 92	4149	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 93	4182	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 94	4216	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 95	4249	8549997	8545161	Unpleasant
pilot07	1	Frame to be displayed 96	4282	8549997	8545161	Unpleasant
